,x,y,time,displacement,speed,acceleration,angles
0,0.0,0.0,0.0,,,,
1,1.9952407826435132,-0.4218902854427214,0.02,2.0393570539939394,101.96785269969696,,11.939232867645313
2,3.978011921418486,-0.8997843566747235,0.04,2.039549982735824,101.9774991367912,0.4823218547116426,13.551158730975557
3,4.521840369066343,-2.894341418235234,0.06,2.067367227246281,103.36836136231406,69.54311127614334,74.74866897803909
4,6.185903836043724,-3.770158030844075,0.08,1.880468548274713,94.02342741373563,-467.2466974289214,27.75837168798034
5,6.575581124920637,-5.800692183375689,0.1,2.0675873219924084,103.3793660996204,467.7969342942382,79.13651661810067
6,6.15061961749722,-7.6053259038712175,0.12,1.8539943764588709,92.6997188229436,-533.9823638338404,76.74919764772147
7,6.193217080717219,-9.716900693255953,0.14,2.112004411699457,105.60022058497276,645.0250881014576,88.84431095292172
8,5.081176444231449,-11.333769660894657,0.16,1.9623709220503458,98.11854610251734,-374.08372412277106,55.4808132268202
9,3.2302167189117945,-12.203688790969165,0.18,2.0451922153247604,102.25961076623807,207.05323318603644,25.172714693163837
10,1.1793439278541658,-12.172601219818072,0.2,2.051108393571774,102.5554196785886,14.790445617526858,0.868435247117383
11,-0.6065613248350412,-12.648780597341766,0.22,1.8482976954921935,92.41488477460972,-507.0267451989447,14.92955942684773
12,-0.9152378256405682,-14.512633923139587,0.24,1.8892406946276443,94.46203473138226,102.35749783862721,80.59648187703091
13,-1.1962726152851209,-16.459630009923824,0.26,1.9671741953735795,98.35870976867889,194.8337518648314,81.78649782820281
14,-2.543129509574438,-18.051181321564922,0.28,2.084960208560625,104.24801042803115,294.4650329676127,49.76029292055858
15,-3.4585581868542006,-20.032638970477986,0.3,2.1827010967199025,109.13505483599533,244.3522203982096,65.20317626090326
16,-4.783676300702554,-21.510776180790497,0.32,1.9851517897026085,99.25758948513034,-493.8732675432493,48.12445890355491
17,-6.038603011239024,-22.88396047362223,0.34,1.8602355095249834,93.01177547624908,-312.29070044406245,47.57641054822908
18,-6.349921363422985,-24.90374805588251,0.36,2.043639154513183,102.18195772565934,458.50911247051386,81.23771594827481
19,-7.3513585780350095,-26.625273393841983,0.38,1.991613914403685,99.58069572018417,-130.06310027375878,59.81279144078444
20,-8.421949625433374,-28.48493549513216,0.4,2.1458118094894814,107.29059047447397,385.49473771448993,60.07134583569338
21,-10.255234783953938,-29.764585994499345,0.42,2.235719095276161,111.78595476380828,224.76821446671565,34.915407715795396
22,-12.310008112538613,-30.971749072551063,0.44,2.383135776424466,119.15678882122319,368.5417028707452,30.433898848460743
23,-13.628206319512055,-31.993662661812927,0.46,1.667919031843591,83.39595159217947,-1788.0418614521843,37.78410087217984
24,-15.503764022276206,-32.306099017988075,0.48,1.90140294862976,95.07014743148818,583.7097919654366,9.457667689449968
25,-17.484528845916763,-32.297495428135115,0.5,1.980783508698052,99.03917543490252,198.45140017071668,0.24886664044989973
26,-19.619160325086874,-32.03482681064018,0.52,2.150731585875065,107.53657929375315,424.8701929425312,7.0150407185697174
27,-21.54506812027221,-31.125173473618226,0.54,2.1299272356375982,106.49636178187981,-52.01087559366679,25.282511218925908
28,-22.56966960439537,-29.39919815706615,0.56,2.007186836000681,100.35934180003396,-306.8509990922924,59.30509707280532
29,-22.195879824444216,-27.283643361416527,0.58,2.148322809307774,107.4161404653892,352.8399332677639,79.980028479289
30,-21.726234648661084,-25.45678434512412,0.6,1.8862609725446868,94.31304862723425,-655.1545919077471,75.58271503537702
31,-21.00193669746119,-23.67530169135749,0.62,1.9230933330922244,96.15466665461113,92.080901368844,67.87480090087858
32,-22.371990346541224,-22.14291282802312,0.64,2.05554436338132,102.7772181690659,331.1275757227382,48.201249324690686
33,-21.53583072769767,-20.567155475389544,0.66,1.7838649451579496,89.1932472578974,-679.1985455584247,62.04779756033352
34,-20.57066397184612,-18.470932618224534,0.68,2.3077471987854405,115.38735993927193,1309.7056340687257,65.27717404296105
35,-20.122477672505408,-16.687994215312774,0.7,1.838407002677661,91.92035013388349,-1173.3504902694276,75.88962829020241
36,-20.86655780313118,-15.080625151245377,0.72,1.771239833820639,88.56199169103186,-167.9179221425811,65.15973070269281
37,-22.16860553435605,-13.485147500418583,0.74,2.059339027133614,102.96695135668061,720.2479832824367,50.782580769296075
38,-22.587703073563357,-11.924593129627052,0.76,1.6158504545799313,80.79252272899649,-1108.721431384205,74.9675218875753
39,-23.083243070462174,-10.079433069868855,0.78,1.9105432564203697,95.5271628210184,736.7320046010946,74.9672422420132
40,-24.08157582014758,-8.38932647920902,0.8,1.9629387578032684,98.14693789016333,130.98875345724667,59.429985545911194
41,-24.90970473223434,-6.296502181091766,0.82,2.2507134508470803,112.53567254235453,719.4367326095636,68.41133381115033
42,-26.70653132586844,-4.414687581722099,0.84,2.6018862377113163,130.0943118855657,877.9319671605576,46.32347453793866
43,-26.359541792671205,-2.414228681547893,0.86,2.030329418452737,101.51647092263676,-1428.892048146446,80.15967033489385
44,-27.472495050714016,-1.076259595642581,0.88,1.7403523291064957,87.01761645532471,-724.9427233656015,50.2455422058832
45,-29.499763803452005,-0.7841378280212674,0.9,2.0482074413852813,102.41037206926397,769.6377806969622,8.199664360876431
46,-31.526274656657783,-0.13286771256579144,0.92,2.1285908487650227,106.42954243825103,200.95851844935294,17.81611174867676
47,-33.33990663196462,-0.12329269844618829,0.94,1.8136572506266881,90.68286253133483,-787.3339953458136,0.30248849177135745
48,-35.40481146413091,-0.16192305760104614,0.96,2.065266150052369,103.26330750261836,629.0222485641758,1.0717677356247086
